,CODIGO,PERIODO_ACADEMICO,NUM_CREDITOS,GPA,real_GPA
410,11315502,201910,15.0,59.3,3.95
411,11315502,201920,2.0,4.8,2.4
412,11315502,202010,2.0,7.4,3.7
413,11315503,201520,15.0,60.3,4.02
414,11315503,201610,14.0,54.50000000000001,3.89
415,11315503,201620,16.0,58.5,3.66
416,11315503,201710,12.0,43.8,3.65
417,11315503,201720,17.0,59.1,3.48
418,11315503,201810,14.0,55.2,3.94
419,11315503,201820,17.0,64.7,3.81
420,11315503,201910,15.0,58.4,3.89
421,11315503,201920,10.0,22.2,2.22
422,11315503,202010,11.0,49.099999999999994,4.46
423,11315512,201520,16.0,54.2,3.39
424,11315512,201610,18.0,70.9,3.94
425,11315512,201620,14.0,46.300000000000004,3.31
426,11315512,201710,15.0,42.8,2.85
427,11315512,201720,15.0,48.8,3.25
428,11315512,201810,5.0,18.5,3.7
429,11315512,201910,14.0,49.9,3.56
430,11315512,201920,13.0,50.0,3.85
431,11315512,202010,17.0,70.7,4.16
432,11315512,202020,19.0,78.5,4.13
433,11316001,201610,15.0,55.0,3.67
434,11316001,201620,14.0,48.1,3.44
435,11316001,201710,15.0,51.7,3.45
436,11316001,201720,15.0,55.4,3.69
437,11316001,201810,13.0,47.29999999999999,3.64
438,11316001,201820,19.0,80.80000000000001,4.25
439,11316001,201910,14.0,56.7,4.05
440,11316001,201920,12.0,50.3,4.19
441,11316001,202010,19.0,67.4,3.55
442,11316001,202020,8.0,39.2,4.9
443,11316002,201610,15.0,50.5,3.37
444,11316003,201610,15.0,31.200000000000003,2.08
445,11316004,201610,15.0,50.6,3.37
446,11316004,201620,14.0,45.5,3.25
447,11316005,201610,15.0,57.7,3.85
448,11316005,201620,14.0,53.0,3.79
449,11316005,201710,15.0,58.599999999999994,3.91
450,11316005,201720,14.0,53.19999999999999,3.8
451,11316005,201810,15.0,60.6,4.04
452,11316005,201820,17.0,69.7,4.1
453,11316005,201910,14.0,55.3,3.95
454,11316005,201920,13.0,56.6,4.35
