CODIGO,FECHA_SOLICITUD,TIPO
33195143,2013-01-22,reingreso
33210520,2013-01-22,reingreso
55110019,2013-01-22,reingreso
55312049,2013-01-22,aplazamiento
55312531,2013-01-22,aplazamiento
55511519,2013-01-22,aplazamiento
66410028,2013-01-22,aplazamiento
66411513,2013-01-22,aplazamiento
77212025,2013-01-22,reingreso
88109507,2013-01-22,aplazamiento
66109519,2013-01-23,reingreso
77102015,2013-01-23,reingreso
77104023,2013-01-23,reingreso
77209513,2013-01-23,aplazamiento
77212020,2013-01-23,reingreso
77312001,2013-01-23,reingreso
77411515,2013-01-23,aplazamiento
77412012,2013-01-23,aplazamiento
91308514,2013-01-23,reingreso
66512525,2013-01-24,aplazamiento
88109510,2013-01-24,aplazamiento
66412520,2013-01-25,aplazamiento
66412575,2013-01-25,aplazamiento
88110506,2013-01-25,aplazamiento
99508502,2013-01-25,reingreso
55511053,2013-01-28,aplazamiento
55511513,2013-01-28,aplazamiento
55513027,2013-01-28,aplazamiento
66111514,2013-01-28,aplazamiento
66304511,2013-01-28,reingreso
66310020,2013-01-28,aplazamiento
88212513,2013-01-28,aplazamiento
11312014,2013-01-29,aplazamiento
93409522,2013-01-29,reingreso
98411530,2013-01-29,reingreso
98412027,2013-01-29,aplazamiento
55711047,2013-01-30,aplazamiento
66403022,2013-01-30,aplazamiento
66412107,2013-01-30,aplazamiento
66511027,2013-01-30,aplazamiento
77107010,2013-01-30,reingreso
77211515,2013-01-30,aplazamiento
92312005,2013-01-30,reingreso
95512020,2013-01-30,reingreso
55511057,2013-01-31,aplazamiento
55513019,2013-01-31,aplazamiento
66408555,2013-01-31,aplazamiento
66111516,2013-02-01,aplazamiento
66410531,2013-02-01,aplazamiento
55311505,2013-02-04,aplazamiento
55711009,2013-02-04,aplazamiento
55711054,2013-02-04,aplazamiento
55712020,2013-02-04,aplazamiento
55712544,2013-02-04,aplazamiento
55712549,2013-02-04,aplazamiento
55712580,2013-02-04,aplazamiento
55712586,2013-02-04,aplazamiento
55712605,2013-02-04,aplazamiento
55712612,2013-02-04,aplazamiento
66109016,2013-02-04,aplazamiento
66109519,2013-02-04,aplazamiento
66109521,2013-02-04,aplazamiento
99508003,2013-02-04,reingreso
66612558,2013-02-05,aplazamiento
88112028,2013-02-06,aplazamiento
66108508,2013-02-07,aplazamiento
66410100,2013-02-07,aplazamiento
77412014,2013-02-07,aplazamiento
99510502,2013-02-09,reingreso
66412544,2013-02-11,aplazamiento
66510526,2013-02-11,aplazamiento
55311036,2013-02-12,aplazamiento
55712569,2013-02-12,aplazamiento
66511505,2013-02-12,aplazamiento
66412560,2013-02-14,aplazamiento
77208007,2013-02-15,aplazamiento
92312008,2013-02-15,aplazamiento
55211013,2013-02-18,aplazamiento
55712546,2013-02-18,aplazamiento
55712594,2013-02-18,aplazamiento
