PERIODO,COD_MAT,COD_DOCENTE
201210,66126,3153
201210,66127,2976
201210,66127,3170
201210,66127,3113
201210,66127,2915
201210,66128,2392
201210,66131,4056
201210,66132,2863
201210,66133,801
201210,66134,2863
201210,66135,2982
201210,66136,1053
201210,66137,3211
201210,66138,1053
201210,66139,2982
201210,66141,3113
201210,66142,2915
201210,66143,1732
201210,66144,2072
201210,66144,3143
201210,66144,3113
201210,66144,2104
201210,66144,3170
201210,66144,2915
201210,66144,3064
201210,66144,2576
201210,66144,2392
201210,66146,397
201210,66146,3064
201210,66146,2104
201210,66146,1885
201210,66146,950
201210,66147,1732
201210,66147,4067
201210,66147,2976
201210,66147,4130
201210,66147,2392
201210,66147,2104
201210,66149,4130
201210,66149,3064
201210,66151,3064
201210,66151,2913
201210,66151,2104
201210,66151,3113
201210,66151,2392
201210,66151,729
201210,66151,3143
201210,66151,2915
201210,66152,1732
201210,66153,2976
201210,66153,1053
201210,66154,4056
201210,66154,2354
201210,66154,950
201210,66154,1053
201210,66155,2392
201210,66155,3194
201210,66155,3096
201210,66155,3090
201210,66156,2354
201210,66158,2219
201210,66158,2915
201210,66159,950
201210,66160,423
201210,66161,1053
201210,66201,685
201210,66203,2442
201210,66217,1520
201210,66219,2442
201210,66224,3123
201210,66225,2442
201210,66230,1520
201210,66236,1520
201210,66241,1520
201210,66243,3020
201210,66243,397
201210,66244,3020
201210,66245,3020
201210,66246,2868
201210,66246,1520
201210,66246,4064
201210,66246,1966
201210,66248,2910
201210,66249,1520
201210,66250,1520
201210,66250,2910
201210,66250,1966
201210,66251,1966
201210,66252,1520
201210,66252,1512
201210,66252,2108
201210,66252,4064
201210,66252,2911
201210,66254,1486
201210,66254,3123
201210,66255,3123
201210,66256,2442
201210,66257,1520
201210,66259,1512
201210,66259,4064
201210,66259,2911
201210,66259,2868
201210,66259,2108
201210,66259,1520
201210,66261,2442
201210,66262,3020
201210,66263,1966
201210,66264,2910
201210,66265,3226
201210,66266,1486
201210,66266,3226
201210,66267,3226
201210,66267,4073
201210,66301,2920
201210,66302,101
201210,66303,1365
201210,66304,2532
201210,66305,3208
201210,66308,3148
201210,66309,4015
201210,66310,1630
201210,66311,4071
201210,66312,380
201210,66316,3132
201210,66318,3108
201210,66318,3214
201210,66321,2102
201210,66323,1699
201210,66324,3053
201210,66325,3027
201210,66329,1365
201210,66330,1460
201210,66333,1365
201210,66334,3121
201210,66335,3121
201210,66336,1365
201210,66337,2102
201210,66337,4095
201210,66337,1124
201210,66337,3148
201210,66341,1553
201210,66342,4061
201210,66343,2292
201210,66344,1772
201210,66348,1365
201210,66349,1699
201210,66349,1460
201210,66349,2102
201210,66351,2574
201210,66352,2999
201210,66354,150
201210,66355,1365
201210,66356,3098
201210,66356,2292
201210,66356,2102
201210,66356,2832
201210,66356,1706
201210,66358,1365
201210,66359,1124
201210,66360,3148
201210,66361,4061
201210,66362,2112
201210,66363,4061
201210,66364,952
201210,66365,2112
201210,66366,4079
201210,66366,2102
201210,66366,2999
201210,66366,2574
201210,66366,3125
201210,66367,2102
201210,66368,4095
201210,66368,952
201210,66368,3121
201210,66401,3002
201210,66401,418
201210,66402,2534
201210,66402,3127
201210,66402,176
201210,66403,2930
201210,66404,2925
201210,66404,2575
201210,66404,539
201210,664040,952
201210,664041,952
201210,66405,3208
201210,66405,622
201210,66407,2826
201210,66408,4109
201210,66409,96
201210,66409,1543
201210,66410,1008
201210,66410,3145
201210,66410,352
201210,66410,2900
201210,66410,4072
201210,66410,3040
201210,66411,2264
201210,66413,987
201210,66414,2413
201210,66414,2980
201210,66418,2474
201210,66418,2996
201210,66420,4093
201210,66423,1707
201210,66423,685
201210,66425,2834
201210,66428,613
201210,66429,2834
201210,66430,2815
201210,66430,694
201210,66431,398
201210,66432,1434
201210,66433,685
201210,66434,3211
201210,66435,2863
201210,66436,4067
201210,66436,613
201210,66437,2361
201210,66438,687
201210,66439,3132
201210,66440,1941
201210,66440,1135
201210,66441,3173
201210,66441,372
201210,66441,3031
