PERIODO_COHORTE,PERIODO_ACADEMICO,CODIGO,TOT_MAT_INSCRITAS,CRED_INSCRITOS,MAT_APROBADAS,CRED_APROBADOS,ENTRY_YEAR,SEMESTRE,FECHA
201210,201210,55512058,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512059,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55512060,8,14,5,9,2012,semestre 1,2012-02-01
201210,201210,55512061,9,17,4,7,2012,semestre 1,2012-02-01
201210,201210,55512063,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512064,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512065,9,17,3,5,2012,semestre 1,2012-02-01
201210,201210,55512066,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512068,8,14,2,3,2012,semestre 1,2012-02-01
201210,201210,55512069,8,14,2,3,2012,semestre 1,2012-02-01
201210,201210,55512070,7,16,6,14,2012,semestre 1,2012-02-01
201210,201210,55512071,8,15,4,7,2012,semestre 1,2012-02-01
201210,201210,55512072,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512073,8,15,3,5,2012,semestre 1,2012-02-01
201210,201210,55512074,8,15,5,9,2012,semestre 1,2012-02-01
201210,201210,55512075,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512076,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512077,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512078,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55512081,9,17,6,12,2012,semestre 1,2012-02-01
201210,201210,55512082,9,17,4,8,2012,semestre 1,2012-02-01
201210,201210,55512083,9,17,5,9,2012,semestre 1,2012-02-01
201210,201210,55512084,8,18,0,0,2012,semestre 1,2012-02-01
201210,201210,55612003,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612004,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612005,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612007,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612008,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612009,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612010,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612011,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612012,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55612013,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612014,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55612015,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612016,7,14,6,12,2012,semestre 1,2012-02-01
201210,201210,55612017,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612018,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612019,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612020,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612021,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55612022,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612024,8,16,4,8,2012,semestre 1,2012-02-01
201210,201210,55612025,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612026,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55612027,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612030,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612031,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612032,8,16,3,5,2012,semestre 1,2012-02-01
201210,201210,55612033,8,16,7,14,2012,semestre 1,2012-02-01
201210,201210,55612034,8,16,5,10,2012,semestre 1,2012-02-01
201210,201210,55612035,8,16,0,0,2012,semestre 1,2012-02-01
201210,201210,55612036,8,16,6,12,2012,semestre 1,2012-02-01
201210,201210,55612037,8,16,3,5,2012,semestre 1,2012-02-01
201210,201210,55712003,9,17,7,14,2012,semestre 1,2012-02-01
201210,201210,55712004,9,17,4,7,2012,semestre 1,2012-02-01
201210,201210,55712011,8,15,4,7,2012,semestre 1,2012-02-01
