COD_BASE,NOMBRE_MAT,COD_PRECO,NOMBRE_PRECORREQUISITO,TIPO_REQUISITO
11458,practica profesional,11444,auditoria integral,prerrequisito
11458,practica profesional,11444,auditoria integral,prerrequisito
11458,practica profesional,11445,finanzas corporativas,prerrequisito
11458,practica profesional,11445,finanzas corporativas,prerrequisito
11458,practica profesional,11446,preparacion de proyectos,prerrequisito
11458,practica profesional,11446,formulacion de proyectos,prerrequisito
11458,practica profesional,11447,seminario de investigacion,prerrequisito
11458,practica profesional,11447,seminario de investigacion,prerrequisito
11458,practica profesional,11448,etica profesional,prerrequisito
11458,practica profesional,11448,etica profesional,prerrequisito
11458,practica profesional,11449,aduana e impuesto a las ventas,prerrequisito
11458,practica profesional,11449,legislacion tributaria ii,prerrequisito
11458,practica profesional,11450,electiva de profundizacion i,prerrequisito
11458,practica profesional,11450,electiva de profundizacion i,prerrequisito
11458,practica profesional,11451,auditoria internacional,prerrequisito
11458,practica profesional,11452,gerencia estrategica,prerrequisito
11458,practica profesional,11453,evaluacion de proyectos,prerrequisito
11458,practica profesional,11453,evaluacion de proyectos,prerrequisito
11458,practica profesional,11454,procedimiento tributario,prerrequisito
11458,practica profesional,11455,auditoria del procesamiento electronico de datos,prerrequisito
11458,practica profesional,11455,auditoria del procesamiento electronico de datos,prerrequisito
11458,practica profesional,11456,electiva de profundizacion ii,prerrequisito
11458,practica profesional,11457,taller contable,prerrequisito
11458,practica profesional,11461,analisis financiero,prerrequisito
11458,practica profesional,11461,analisis financiero,prerrequisito
11458,practica profesional,11462,contabilidad internacional,prerrequisito
11458,practica profesional,11463,revisoria fiscal,prerrequisito
11458,practica profesional,11463,revisoria fiscal,prerrequisito
11458,practica profesional,11464,gestion empresarial,prerrequisito
11458,practica profesional,11465,ingles iii,prerrequisito
11458,practica profesional,11466,contabilidad de gestion,prerrequisito
11458,practica profesional,11467,contabilidad publica,prerrequisito
11458,practica profesional,11468,contabilidad socio-ambiental,prerrequisito
11458,practica profesional,11469,taller de contabilidad tributaria,prerrequisito
11458,practica profesional,11470,contabilidades especiales,prerrequisito
11461,analisis financiero,11423,contabilidad superior,prerrequisito
11461,analisis financiero,11423,contabilidad financiera avanzada,prerrequisito
11463,revisoria fiscal,11444,auditoria integral,prerrequisito
11465,ingles iii,11418,ingles ii,prerrequisito
11466,contabilidad de gestion,11423,contabilidad financiera avanzada,prerrequisito
11471,finanzas internacionales,11445,finanzas corporativas,prerrequisito
11604,teoria general de sistemas,11609,logica de la programacion,prerrequisito
11609,logica de la programacion,11615,informatica basica,prerrequisito
11612,contabilidad comercial,11611,contabilidad basica,prerrequisito
11613,administracion basica,11603,introduccion al programa,prerrequisito
11614,macroeconomia,11610,microeconomia,prerrequisito
11616,costos,11612,contabilidad comercial,prerrequisito
11618,procesos de mercadeo,11614,macroeconomia,prerrequisito
11619,calculo diferencial,11601,matematica basica,prerrequisito
11620,formacion integral ii,11607,formacion integral i,prerrequisito
11622,idioma extranjero ii,11617,idioma extranjero i,prerrequisito
11624,programacion basica,11604,teoria general de sistemas,prerrequisito
11625,presupuestos,11616,costos,prerrequisito
11626,iniciativa empresarial,11662,organizacion y direccion,prerrequisito
11627,investigacion de mercados,11661,planeacion y control,prerrequisito
11628,calculo integral,11619,calculo diferencial,prerrequisito
11632,estadistica inferencial,11629,estadistica descriptiva,prerrequisito
11633,bases de datos,11624,programacion basica,prerrequisito
11634,finanzas,11625,presupuestos,prerrequisito
11636,ingenieria del software,11633,bases de datos,prerrequisito
11638,creacion de empresas,11626,iniciativa empresarial,prerrequisito
11640,metodologia y practica de la investigacion,11629,estadistica descriptiva,prerrequisito
11643,estrategias computacionales,11636,ingenieria del software,prerrequisito
11644,evaluacion de proyectos,11637,preparacion de proyectos,prerrequisito
11649,sistemas de informacion gerencial,11643,estrategias computacionales,prerrequisito
11650,gerencia financiera,11644,evaluacion de proyectos,prerrequisito
11652,seminario de investigacion,11640,metodologia y practica de la investigacion,prerrequisito
11653,etica profesional,11655,etica general,prerrequisito
11658,practica profesional,11649,sistemas de informacion gerencial,prerrequisito
11658,practica profesional,11650,gerencia financiera,prerrequisito
