CODIGO,PERIODO,ENTRY_YEAR,SEMESTRE,FECHA
66417071,201810,2018,semestre 1,2018-02-01
77417001,201810,2018,semestre 1,2018-02-01
66616015,201810,2018,semestre 1,2018-02-01
55314060,201810,2018,semestre 1,2018-02-01
66617574,201810,2018,semestre 1,2018-02-01
66416617,201810,2018,semestre 1,2018-02-01
55716025,201810,2018,semestre 1,2018-02-01
66117025,201810,2018,semestre 1,2018-02-01
66417097,201810,2018,semestre 1,2018-02-01
11915008,201810,2018,semestre 1,2018-02-01
66118020,201810,2018,semestre 1,2018-02-01
88116003,201810,2018,semestre 1,2018-02-01
66514008,201810,2018,semestre 1,2018-02-01
66416519,201810,2018,semestre 1,2018-02-01
55116026,201810,2018,semestre 1,2018-02-01
66115019,201810,2018,semestre 1,2018-02-01
77118032,201810,2018,semestre 1,2018-02-01
66413055,201810,2018,semestre 1,2018-02-01
33313503,201810,2018,semestre 1,2018-02-01
55314025,201810,2018,semestre 1,2018-02-01
55715042,201810,2018,semestre 1,2018-02-01
33315009,201810,2018,semestre 1,2018-02-01
66412029,201810,2018,semestre 1,2018-02-01
55314524,201810,2018,semestre 1,2018-02-01
55315527,201810,2018,semestre 1,2018-02-01
66116022,201810,2018,semestre 1,2018-02-01
66514003,201810,2018,semestre 1,2018-02-01
77216012,201810,2018,semestre 1,2018-02-01
55217021,201810,2018,semestre 1,2018-02-01
66118049,201810,2018,semestre 1,2018-02-01
88114013,201810,2018,semestre 1,2018-02-01
77114515,201810,2018,semestre 1,2018-02-01
55715022,201810,2018,semestre 1,2018-02-01
98018007,201810,2018,semestre 1,2018-02-01
66417534,201810,2018,semestre 1,2018-02-01
98818007,201810,2018,semestre 1,2018-02-01
33314508,201810,2018,semestre 1,2018-02-01
55317007,201810,2018,semestre 1,2018-02-01
88114019,201810,2018,semestre 1,2018-02-01
66415602,201810,2018,semestre 1,2018-02-01
66416587,201810,2018,semestre 1,2018-02-01
66417031,201810,2018,semestre 1,2018-02-01
66415603,201810,2018,semestre 1,2018-02-01
33217023,201810,2018,semestre 1,2018-02-01
77416020,201810,2018,semestre 1,2018-02-01
66416101,201810,2018,semestre 1,2018-02-01
66616042,201810,2018,semestre 1,2018-02-01
33116001,201810,2018,semestre 1,2018-02-01
66613545,201810,2018,semestre 1,2018-02-01
55711018,201810,2018,semestre 1,2018-02-01
77215003,201810,2018,semestre 1,2018-02-01
55517509,201810,2018,semestre 1,2018-02-01
88216518,201810,2018,semestre 1,2018-02-01
55217001,201810,2018,semestre 1,2018-02-01
66417156,201810,2018,semestre 1,2018-02-01
66416549,201810,2018,semestre 1,2018-02-01
66417147,201810,2018,semestre 1,2018-02-01
55117005,201810,2018,semestre 1,2018-02-01
55615019,201810,2018,semestre 1,2018-02-01
55118002,201810,2018,semestre 1,2018-02-01
33114019,201810,2018,semestre 1,2018-02-01
55715062,201810,2018,semestre 1,2018-02-01
33217025,201810,2018,semestre 1,2018-02-01
66514004,201810,2018,semestre 1,2018-02-01
66416588,201810,2018,semestre 1,2018-02-01
66111525,201810,2018,semestre 1,2018-02-01
66617569,201810,2018,semestre 1,2018-02-01
77117534,201810,2018,semestre 1,2018-02-01
77413006,201810,2018,semestre 1,2018-02-01
92717016,201810,2018,semestre 1,2018-02-01
55516003,201810,2018,semestre 1,2018-02-01
55217501,201810,2018,semestre 1,2018-02-01
66413037,201810,2018,semestre 1,2018-02-01
66214013,201810,2018,semestre 1,2018-02-01
66412086,201810,2018,semestre 1,2018-02-01
55616013,201810,2018,semestre 1,2018-02-01
55316511,201810,2018,semestre 1,2018-02-01
55516525,201810,2018,semestre 1,2018-02-01
95018024,201810,2018,semestre 1,2018-02-01
33117005,201810,2018,semestre 1,2018-02-01
55118017,201810,2018,semestre 1,2018-02-01
66515011,201810,2018,semestre 1,2018-02-01
55315020,201810,2018,semestre 1,2018-02-01
66417030,201810,2018,semestre 1,2018-02-01
77115503,201810,2018,semestre 1,2018-02-01
55715549,201810,2018,semestre 1,2018-02-01
66617006,201810,2018,semestre 1,2018-02-01
88114508,201810,2018,semestre 1,2018-02-01
66415529,201810,2018,semestre 1,2018-02-01
88214507,201810,2018,semestre 1,2018-02-01
55613036,201810,2018,semestre 1,2018-02-01
77417015,201810,2018,semestre 1,2018-02-01
66415520,201810,2018,semestre 1,2018-02-01
88114020,201810,2018,semestre 1,2018-02-01
55217016,201810,2018,semestre 1,2018-02-01
66116015,201810,2018,semestre 1,2018-02-01
11715003,201810,2018,semestre 1,2018-02-01
33317044,201810,2018,semestre 1,2018-02-01
66417536,201810,2018,semestre 1,2018-02-01
55615502,201810,2018,semestre 1,2018-02-01
55512049,201810,2018,semestre 1,2018-02-01
77214006,201810,2018,semestre 1,2018-02-01
77116003,201810,2018,semestre 1,2018-02-01
55714578,201810,2018,semestre 1,2018-02-01
66417035,201810,2018,semestre 1,2018-02-01
66417091,201810,2018,semestre 1,2018-02-01
77112004,201810,2018,semestre 1,2018-02-01
66617013,201810,2018,semestre 1,2018-02-01
66117528,201810,2018,semestre 1,2018-02-01
11914502,201810,2018,semestre 1,2018-02-01
66417541,201810,2018,semestre 1,2018-02-01
77117518,201810,2018,semestre 1,2018-02-01
66416006,201810,2018,semestre 1,2018-02-01
88215516,201810,2018,semestre 1,2018-02-01
